"inst_325" "inst_449" "inst_484" "inst_489" "inst_493" "inst_544" "inst_836" "inst_953" "inst_999" "inst_1057" "inst_1160" "inst_1219" "inst_1644" "inst_2679" "inst_4443" "inst_5216" "inst_5579" "inst_5947" "inst_5952" "inst_6178" "inst_6938" "inst_6979"
"200604_s_at" 20998 5570 19982 14994 17529 978 15790 14235 4521 2180 1270 17098 2926 4805 20161 17355 6507 13142 8525 2094 13974 16276
"200605_s_at" 3241 5316 17710 12839 3387 584 13551 2523 3460 4112 2441 15547 753 758 4433 16560 3511 18713 5186 11645 2871 3844
"200606_at" 4417 6568 20027 2061 5855 17812 14663 15959 17504 5471 8325 3313 15203 12389 6725 14399 2942 20533 4614 1767 13881 14329
"200607_s_at" 19191 20924 3033 3459 7211 6048 12502 14359 2486 5862 6634 4179 1112 12057 14097 14747 5199 19221 20150 13508 4330 4272
"200608_s_at" 867 1066 15316 18202 3434 5702 2397 3714 14092 1175 17077 20063 3517 7843 4308 15275 5202 14966 3850 13673 15171 14781
"200609_s_at" 3855 8613 18741 4906 6774 802 16964 16069 2664 5493 3910 5340 14445 7862 3627 15666 3549 6061 7852 16448 13515 15724
"200610_s_at" 6212 7451 16762 3382 6673 19761 14917 14293 18048 5990 16339 14546 4355 10093 4519 12752 8241 18419 7594 16176 18342 15767
"200611_s_at" 17232 18634 19083 17098 5778 4710 13353 16875 15486 4047 4796 4283 15482 6653 16039 15378 9669 18773 18568 13618 16894 17289
"200612_s_at" 2383 4994 16281 5424 3334 3083 12273 568 2723 1466 19870 2934 248 9159 2395 18031 3770 17820 6480 11690 3010 18366
"200613_at" 17431 16343 2456 18841 16334 4502 15884 17163 18004 5872 5408 4480 18037 8828 13827 4735 17058 14099 9573 15342 17020 18965
"200614_at" 6044 8459 5830 5222 4557 2213 1644 3762 13630 4043 3398 13521 3883 4437 14719 3219 9554 9000 10881 10502 4276 15686
"200615_s_at" 16515 1965 17308 12552 6237 2452 13898 3054 14895 2098 17811 3566 16666 5552 4287 17497 8390 12353 19601 10686 14922 3666
"200616_s_at" 19122 17603 7196 19558 6898 8338 20330 20969 13606 21384 19319 15781 19361 11137 18381 20231 16462 13094 9543 19728 18383 18077
"200617_at" 3891 17225 7784 16241 8160 19478 19747 16002 17273 19024 21719 17150 20150 12073 17422 20180 17574 18227 9304 18561 17968 18428
"200618_at" 14654 2423 5761 14230 6461 2151 13986 15172 15532 5223 4319 5187 19381 1139 8146 17510 4632 17276 8554 11011 14023 17649
"200619_at" 15513 16966 5800 13850 9297 19183 16971 18212 18833 1827 17438 2175 15159 8050 15658 17974 5373 5424 1994 17139 3154 2249
"200620_at" 19353 4828 15911 19788 8575 7382 16473 17302 16367 17874 4762 16097 17662 5258 19460 18439 7560 12720 10198 13697 13667 16954
"200621_at" 14834 3351 5011 15866 8702 6402 14424 16873 17563 18561 19877 13316 18284 8229 5828 14071 9499 18611 7059 20742 17965 18333
"200622_x_at" 7195 8616 17237 4261 1949 8580 2028 16280 15902 1134 5092 2638 16706 11038 16800 14215 16930 14211 4718 10293 14202 19341
"200623_s_at" 16326 19893 7578 17892 17583 1040 14586 21474 16436 17998 20588 15684 21884 8598 7657 20328 8711 1561 19244 1955 15599 17841
"200624_s_at" 15793 18378 21363 17520 2897 3075 14791 3977 18493 4908 3434 17412 3571 6570 15440 15663 7796 20108 8769 15631 18205 17575
"200625_s_at" 1536 2366 5109 13896 5372 6363 16640 17731 16145 4338 16972 15441 18157 5267 17634 17616 17165 5493 5239 13345 16250 18585
"200626_s_at" 15766 2273 19747 21264 2489 885 13792 19371 17950 17762 16066 18335 18964 5005 18720 16744 4395 13437 5209 13902 4416 20268
"200627_at" 2418 2616 4750 3090 1800 2952 1411 3350 3306 3526 2014 4114 3590 7678 6068 4585 7490 12052 9629 2062 1564 3807
"200628_s_at" 14845 17561 15085 1844 6207 2875 1152 2633 19613 1264 1731 5222 2221 11771 6770 12890 20629 17899 20338 18414 2847 2964
"200629_at" 2700 19736 8775 1942 9466 617 13020 18073 14540 1067 2903 3606 14609 9044 18233 14213 1449 17134 8185 15583 2240 3417
"200630_x_at" 1819 16522 19862 14453 21538 5228 14075 16574 16000 19587 3102 17787 4282 13400 6262 4874 8351 14986 9621 13534 3578 14372
"200631_s_at" 6402 9027 15318 15944 6518 5455 2709 14629 15408 5055 17761 14215 16196 7878 13719 15715 8373 14621 11412 17115 16001 5378
"200632_s_at" 5026 19903 19195 660 1714 3289 1473 476 73 9004 6362 21596 1451 2883 21731 4140 1367 792 21045 21208 3941 640
"200633_at" 2196 16949 5446 1692 18267 5516 5677 2564 4407 1943 1154 4306 3353 16101 9845 4433 8749 9157 14981 2602 3000 4751
"200634_at" 6302 9098 3697 2681 20330 21116 14477 16221 16519 4801 16523 5213 16990 11584 17544 15175 9952 17307 8557 14905 17036 17411
"200635_s_at" 1167 21683 14145 2914 22051 9546 18712 14449 2496 19970 15152 19674 20784 16822 6775 12429 2470 18136 4011 9221 20764 20190
"200636_s_at" 1690 2252 18967 15296 1510 19747 14864 18030 20024 2867 7318 4587 21002 2420 6760 3053 17772 14378 7380 6101 17181 20687
"200637_s_at" 1582 5606 3241 14603 18958 10907 15368 20161 21388 20434 9508 2145 17120 14818 19679 18863 19065 19699 9997 5017 4309 15787
